threshold,speech_recall,hazard_macro_recall,hazard_macro_recall_loss,hazard_accuracy,hazard_false_speech_rate,speech_correct,speech_total,hazard_correct,hazard_total,hazards_suppressed_as_speech,passes_speech_gate,passes_hazard_gate,passes_loss_gate,passes_all_gates
0.49,0.7916666666666666,0.8955555555555555,-0.00740740745555557,0.8779527559055118,0.011811023622047244,19,24,223,254,3,False,True,True,False
0.5,0.7916666666666666,0.8988888888888888,-0.01074074078888887,0.8818897637795275,0.007874015748031496,19,24,224,254,2,False,True,True,False
0.51,0.7916666666666666,0.8988888888888888,-0.01074074078888887,0.8818897637795275,0.007874015748031496,19,24,224,254,2,False,True,True,False
0.52,0.7916666666666666,0.8988888888888888,-0.01074074078888887,0.8818897637795275,0.007874015748031496,19,24,224,254,2,False,True,True,False
0.53,0.7916666666666666,0.8988888888888888,-0.01074074078888887,0.8818897637795275,0.007874015748031496,19,24,224,254,2,False,True,True,False
0.54,0.7916666666666666,0.8988888888888888,-0.01074074078888887,0.8818897637795275,0.007874015748031496,19,24,224,254,2,False,True,True,False
0.55,0.7916666666666666,0.8988888888888888,-0.01074074078888887,0.8818897637795275,0.007874015748031496,19,24,224,254,2,False,True,True,False
0.56,0.7916666666666666,0.8988888888888888,-0.01074074078888887,0.8818897637795275,0.007874015748031496,19,24,224,254,2,False,True,True,False
0.57,0.7916666666666666,0.8988888888888888,-0.01074074078888887,0.8818897637795275,0.007874015748031496,19,24,224,254,2,False,True,True,False
0.58,0.7916666666666666,0.8988888888888888,-0.01074074078888887,0.8818897637795275,0.007874015748031496,19,24,224,254,2,False,True,True,False
0.59,0.7916666666666666,0.9022222222222223,-0.01407407412222228,0.8858267716535433,0.003937007874015748,19,24,225,254,1,False,True,True,False
0.6,0.7916666666666666,0.9022222222222223,-0.01407407412222228,0.8858267716535433,0.003937007874015748,19,24,225,254,1,False,True,True,False
0.61,0.7916666666666666,0.9022222222222223,-0.01407407412222228,0.8858267716535433,0.003937007874015748,19,24,225,254,1,False,True,True,False
0.62,0.7916666666666666,0.9022222222222223,-0.01407407412222228,0.8858267716535433,0.003937007874015748,19,24,225,254,1,False,True,True,False
0.63,0.7916666666666666,0.9022222222222223,-0.01407407412222228,0.8858267716535433,0.003937007874015748,19,24,225,254,1,False,True,True,False
0.64,0.7916666666666666,0.9022222222222223,-0.01407407412222228,0.8858267716535433,0.003937007874015748,19,24,225,254,1,False,True,True,False
0.65,0.7916666666666666,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,19,24,226,254,0,False,True,True,False
0.66,0.7916666666666666,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,19,24,226,254,0,False,True,True,False
0.67,0.7916666666666666,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,19,24,226,254,0,False,True,True,False
0.68,0.7916666666666666,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,19,24,226,254,0,False,True,True,False
0.69,0.75,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,18,24,226,254,0,False,True,True,False
0.7,0.75,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,18,24,226,254,0,False,True,True,False
0.71,0.75,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,18,24,226,254,0,False,True,True,False
0.72,0.75,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,18,24,226,254,0,False,True,True,False
0.73,0.75,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,18,24,226,254,0,False,True,True,False
0.74,0.75,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,18,24,226,254,0,False,True,True,False
0.75,0.7083333333333334,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,17,24,226,254,0,False,True,True,False
0.76,0.6666666666666666,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,16,24,226,254,0,False,True,True,False
0.77,0.625,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,15,24,226,254,0,False,True,True,False
0.78,0.625,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,15,24,226,254,0,False,True,True,False
0.79,0.625,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,15,24,226,254,0,False,True,True,False
0.8,0.625,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,15,24,226,254,0,False,True,True,False
0.81,0.5833333333333334,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,14,24,226,254,0,False,True,True,False
0.82,0.4583333333333333,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,11,24,226,254,0,False,True,True,False
0.83,0.4583333333333333,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,11,24,226,254,0,False,True,True,False
0.84,0.4583333333333333,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,11,24,226,254,0,False,True,True,False
0.85,0.4166666666666667,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,10,24,226,254,0,False,True,True,False
0.86,0.375,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,9,24,226,254,0,False,True,True,False
0.87,0.375,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,9,24,226,254,0,False,True,True,False
0.88,0.3333333333333333,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,8,24,226,254,0,False,True,True,False
0.89,0.3333333333333333,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,8,24,226,254,0,False,True,True,False
0.9,0.3333333333333333,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,8,24,226,254,0,False,True,True,False
0.91,0.3333333333333333,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,8,24,226,254,0,False,True,True,False
0.92,0.2916666666666667,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,7,24,226,254,0,False,True,True,False
0.93,0.20833333333333334,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,5,24,226,254,0,False,True,True,False
0.94,0.20833333333333334,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,5,24,226,254,0,False,True,True,False
0.95,0.20833333333333334,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,5,24,226,254,0,False,True,True,False
0.96,0.20833333333333334,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,5,24,226,254,0,False,True,True,False
0.97,0.16666666666666666,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,4,24,226,254,0,False,True,True,False
0.98,0.125,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,3,24,226,254,0,False,True,True,False
0.99,0.125,0.9055555555555556,-0.01740740745555558,0.889763779527559,0.0,3,24,226,254,0,False,True,True,False
