class,threshold,target_trials_passed,class_false_alert_ood_trials,class_false_alert_speech_trials,class_confusion_other_hazard_trials,overall_positive_passed,overall_ood_passed
siren,0.66,5,2,3,1,13,3
siren,0.67,5,2,3,1,13,3
siren,0.68,5,2,3,1,13,3
siren,0.69,5,2,3,1,13,3
siren,0.7,5,2,3,1,13,3
siren,0.71,5,2,3,1,13,3
siren,0.72,5,2,3,1,13,3
siren,0.73,5,2,3,1,13,3
siren,0.74,5,2,3,1,13,3
siren,0.75,5,2,3,1,13,3
siren,0.76,5,2,3,1,13,3
siren,0.77,5,2,3,1,13,3
siren,0.78,5,2,3,1,13,3
siren,0.79,5,2,3,1,13,3
siren,0.8,5,2,3,1,13,3
siren,0.81,5,2,3,1,13,3
siren,0.82,5,2,2,1,13,3
siren,0.83,5,2,2,1,13,3
siren,0.84,5,2,2,1,13,3
siren,0.85,5,2,2,1,13,3
siren,0.86,5,2,2,1,13,3
siren,0.87,5,1,2,1,13,4
siren,0.88,5,1,1,1,13,4
siren,0.89,5,1,1,1,13,4
siren,0.9,5,1,1,1,13,4
siren,0.91,5,1,1,1,13,4
siren,0.92,5,1,1,1,13,4
siren,0.93,5,0,1,1,13,5
siren,0.94,5,0,1,1,13,5
siren,0.95,5,0,0,1,13,5
siren,0.96,5,0,0,1,13,5
siren,0.97,4,0,0,0,12,5
siren,0.98,4,0,0,0,12,5
siren,0.99,2,0,0,0,10,5
siren,1.0,0,0,0,0,8,5
thunderstorm,0.2,5,1,0,1,16,2
thunderstorm,0.21,5,1,0,1,16,2
thunderstorm,0.22,5,1,0,1,16,2
thunderstorm,0.23,5,1,0,1,16,2
thunderstorm,0.24,5,1,0,1,16,2
thunderstorm,0.25,5,1,0,1,16,2
thunderstorm,0.26,5,1,0,1,16,2
thunderstorm,0.27,5,1,0,1,16,2
thunderstorm,0.28,5,1,0,1,16,2
thunderstorm,0.29,5,1,0,1,16,2
thunderstorm,0.3,5,1,0,1,16,2
thunderstorm,0.31,5,1,0,1,16,2
thunderstorm,0.32,5,1,0,1,16,2
thunderstorm,0.33,5,1,0,1,16,2
thunderstorm,0.34,5,1,0,1,16,2
thunderstorm,0.35,5,1,0,1,16,2
thunderstorm,0.36,5,1,0,1,16,2
thunderstorm,0.37,5,1,0,1,16,2
thunderstorm,0.38,5,1,0,1,16,2
thunderstorm,0.39,4,0,0,1,15,3
thunderstorm,0.4,4,0,0,1,15,3
thunderstorm,0.41,4,0,0,1,15,3
thunderstorm,0.42,4,0,0,1,15,3
thunderstorm,0.43,4,0,0,1,15,3
thunderstorm,0.44,4,0,0,1,15,3
thunderstorm,0.45,4,0,0,1,15,3
thunderstorm,0.46,4,0,0,1,15,3
thunderstorm,0.47,4,0,0,1,15,3
thunderstorm,0.48,4,0,0,1,15,3
thunderstorm,0.49,4,0,0,1,15,3
thunderstorm,0.5,4,0,0,1,15,3
thunderstorm,0.51,4,0,0,1,15,3
thunderstorm,0.52,4,0,0,1,15,3
thunderstorm,0.53,4,0,0,1,15,3
thunderstorm,0.54,4,0,0,1,15,3
thunderstorm,0.55,4,0,0,1,15,3
thunderstorm,0.56,4,0,0,1,15,3
thunderstorm,0.57,3,0,0,1,14,3
thunderstorm,0.58,2,0,0,1,13,3
thunderstorm,0.59,2,0,0,1,13,3
thunderstorm,0.6,2,0,0,1,13,3
thunderstorm,0.61,2,0,0,1,13,3
thunderstorm,0.62,2,0,0,1,13,3
