hazard_threshold,hazard_detection_recall,hazard_detection_macro_recall,minimum_hazard_class_recall,background_rejection_rate,background_false_alert_rate,speech_rejection_rate,cascade_hazard_exact_accuracy,cascade_hazard_exact_macro_recall,cascade_overall_accuracy
0.38,0.9615384615384616,0.9488888888888889,0.875,0.5083333333333333,0.49166666666666664,0.7916666666666666,0.9230769230769231,0.9164814814814815,0.7582781456953642
0.385,0.9615384615384616,0.9488888888888889,0.875,0.5083333333333333,0.49166666666666664,0.7916666666666666,0.9230769230769231,0.9164814814814815,0.7582781456953642
0.39,0.9615384615384616,0.9488888888888889,0.875,0.5083333333333333,0.49166666666666664,0.7916666666666666,0.9230769230769231,0.9164814814814815,0.7582781456953642
0.395,0.9615384615384616,0.9488888888888889,0.875,0.5083333333333333,0.49166666666666664,0.7916666666666666,0.9230769230769231,0.9164814814814815,0.7582781456953642
0.4,0.9560439560439561,0.9451851851851852,0.875,0.5083333333333333,0.49166666666666664,0.7916666666666666,0.9175824175824175,0.9127777777777778,0.7549668874172185
0.405,0.9505494505494505,0.9351851851851853,0.875,0.5083333333333333,0.49166666666666664,0.7916666666666666,0.9120879120879121,0.9027777777777779,0.7516556291390728
0.41,0.9505494505494505,0.9351851851851853,0.875,0.5083333333333333,0.49166666666666664,0.7916666666666666,0.9120879120879121,0.9027777777777779,0.7516556291390728
0.415,0.9505494505494505,0.9351851851851853,0.875,0.5166666666666667,0.48333333333333334,0.7916666666666666,0.9120879120879121,0.9027777777777779,0.7549668874172185
0.42,0.9505494505494505,0.9351851851851853,0.875,0.5166666666666667,0.48333333333333334,0.7916666666666666,0.9120879120879121,0.9027777777777779,0.7549668874172185
0.425,0.9505494505494505,0.9351851851851853,0.875,0.5166666666666667,0.48333333333333334,0.7916666666666666,0.9120879120879121,0.9027777777777779,0.7549668874172185
0.43,0.9505494505494505,0.9351851851851853,0.875,0.5333333333333333,0.4666666666666667,0.8333333333333334,0.9120879120879121,0.9027777777777779,0.7615894039735099
0.435,0.9505494505494505,0.9351851851851853,0.875,0.5416666666666666,0.4583333333333333,0.8333333333333334,0.9120879120879121,0.9027777777777779,0.7649006622516556
0.44,0.9505494505494505,0.9351851851851853,0.875,0.55,0.45,0.875,0.9120879120879121,0.9027777777777779,0.7682119205298014
0.445,0.9505494505494505,0.9351851851851853,0.875,0.55,0.45,0.875,0.9120879120879121,0.9027777777777779,0.7682119205298014
0.45,0.9505494505494505,0.9351851851851853,0.875,0.55,0.45,0.875,0.9120879120879121,0.9027777777777779,0.7682119205298014
0.455,0.945054945054945,0.9251851851851853,0.875,0.55,0.45,0.875,0.9065934065934066,0.8927777777777777,0.7649006622516556
0.46,0.9395604395604396,0.9214814814814816,0.875,0.5583333333333333,0.44166666666666665,0.875,0.9065934065934066,0.8927777777777777,0.7682119205298014
0.465,0.9340659340659341,0.9177777777777777,0.875,0.5666666666666667,0.43333333333333335,0.875,0.9010989010989011,0.8890740740740739,0.7682119205298014
0.47,0.9340659340659341,0.9177777777777777,0.875,0.5666666666666667,0.43333333333333335,0.875,0.9010989010989011,0.8890740740740739,0.7682119205298014
0.475,0.9285714285714286,0.9140740740740739,0.8703703703703703,0.5666666666666667,0.43333333333333335,0.875,0.8956043956043956,0.8853703703703705,0.7649006622516556
0.48,0.9230769230769231,0.9040740740740741,0.85,0.575,0.425,0.9166666666666666,0.8901098901098901,0.8753703703703704,0.7649006622516556
0.485,0.9230769230769231,0.9040740740740741,0.85,0.5833333333333334,0.4166666666666667,0.9166666666666666,0.8901098901098901,0.8753703703703704,0.7682119205298014
0.49,0.9230769230769231,0.9040740740740741,0.85,0.5916666666666667,0.4083333333333333,0.9166666666666666,0.8901098901098901,0.8753703703703704,0.7715231788079471
0.495,0.9175824175824175,0.899074074074074,0.85,0.5916666666666667,0.4083333333333333,0.9166666666666666,0.8846153846153846,0.8703703703703705,0.7682119205298014
0.5,0.9175824175824175,0.899074074074074,0.85,0.5916666666666667,0.4083333333333333,0.9166666666666666,0.8846153846153846,0.8703703703703705,0.7682119205298014
0.505,0.9175824175824175,0.899074074074074,0.85,0.5916666666666667,0.4083333333333333,0.9166666666666666,0.8846153846153846,0.8703703703703705,0.7682119205298014
0.51,0.9065934065934066,0.8890740740740741,0.85,0.6166666666666667,0.38333333333333336,0.9166666666666666,0.8736263736263736,0.8603703703703705,0.7715231788079471
0.515,0.9065934065934066,0.8890740740740741,0.85,0.6333333333333333,0.36666666666666664,0.9166666666666666,0.8736263736263736,0.8603703703703705,0.7781456953642384
0.52,0.9065934065934066,0.8890740740740741,0.85,0.6416666666666667,0.35833333333333334,0.9166666666666666,0.8736263736263736,0.8603703703703705,0.7814569536423841
0.525,0.9065934065934066,0.8890740740740741,0.85,0.6583333333333333,0.3416666666666667,0.9166666666666666,0.8736263736263736,0.8603703703703705,0.7880794701986755
0.53,0.9065934065934066,0.8890740740740741,0.85,0.6583333333333333,0.3416666666666667,0.9166666666666666,0.8736263736263736,0.8603703703703705,0.7880794701986755
0.535,0.8956043956043956,0.8803703703703704,0.825,0.6583333333333333,0.3416666666666667,0.9166666666666666,0.8626373626373627,0.8516666666666666,0.7814569536423841
0.54,0.8956043956043956,0.8803703703703704,0.825,0.6583333333333333,0.3416666666666667,0.9166666666666666,0.8626373626373627,0.8516666666666666,0.7814569536423841
0.545,0.8901098901098901,0.8753703703703704,0.8,0.6666666666666666,0.3333333333333333,0.9166666666666666,0.8626373626373627,0.8516666666666666,0.7847682119205298
0.55,0.8846153846153846,0.8653703703703703,0.8,0.6666666666666666,0.3333333333333333,0.9166666666666666,0.8571428571428571,0.8416666666666666,0.7814569536423841
0.555,0.8846153846153846,0.8653703703703703,0.8,0.675,0.325,0.9166666666666666,0.8571428571428571,0.8416666666666666,0.7847682119205298
0.56,0.8791208791208791,0.8553703703703703,0.75,0.6833333333333333,0.31666666666666665,0.9166666666666666,0.8516483516483516,0.8316666666666667,0.7847682119205298
0.565,0.8791208791208791,0.8553703703703703,0.75,0.6916666666666667,0.30833333333333335,0.9166666666666666,0.8516483516483516,0.8316666666666667,0.7880794701986755
0.57,0.8791208791208791,0.8553703703703703,0.75,0.7,0.3,0.9583333333333334,0.8516483516483516,0.8316666666666667,0.7913907284768212
0.575,0.8736263736263736,0.8503703703703703,0.75,0.7,0.3,0.9583333333333334,0.8461538461538461,0.8266666666666668,0.7880794701986755
0.58,0.8736263736263736,0.8503703703703703,0.75,0.7083333333333334,0.2916666666666667,0.9583333333333334,0.8461538461538461,0.8266666666666668,0.7913907284768212
0.585,0.8736263736263736,0.8503703703703703,0.75,0.7166666666666667,0.2833333333333333,0.9583333333333334,0.8461538461538461,0.8266666666666668,0.7947019867549668
0.59,0.8626373626373627,0.8416666666666668,0.75,0.725,0.275,0.9583333333333334,0.8351648351648352,0.817962962962963,0.7913907284768212
0.595,0.8626373626373627,0.8416666666666668,0.75,0.725,0.275,0.9583333333333334,0.8351648351648352,0.817962962962963,0.7913907284768212
0.6,0.8626373626373627,0.8416666666666668,0.75,0.7333333333333333,0.26666666666666666,0.9583333333333334,0.8351648351648352,0.817962962962963,0.7947019867549668
0.605,0.8626373626373627,0.8416666666666668,0.75,0.7333333333333333,0.26666666666666666,0.9583333333333334,0.8351648351648352,0.817962962962963,0.7947019867549668
0.61,0.8571428571428571,0.837962962962963,0.75,0.7416666666666667,0.25833333333333336,0.9583333333333334,0.8296703296703297,0.8142592592592592,0.7947019867549668
0.615,0.8516483516483516,0.8342592592592591,0.75,0.7416666666666667,0.25833333333333336,0.9583333333333334,0.8241758241758241,0.8105555555555555,0.7913907284768212
0.62,0.8516483516483516,0.8342592592592591,0.75,0.7416666666666667,0.25833333333333336,0.9583333333333334,0.8241758241758241,0.8105555555555555,0.7913907284768212
0.625,0.8516483516483516,0.8342592592592591,0.75,0.7416666666666667,0.25833333333333336,0.9583333333333334,0.8241758241758241,0.8105555555555555,0.7913907284768212
0.63,0.8461538461538461,0.8292592592592593,0.725,0.75,0.25,0.9583333333333334,0.8186813186813187,0.8055555555555556,0.7913907284768212
0.635,0.8406593406593407,0.825925925925926,0.725,0.7583333333333333,0.24166666666666667,0.9583333333333334,0.8131868131868132,0.8022222222222222,0.7913907284768212
0.64,0.8351648351648352,0.8222222222222222,0.725,0.7583333333333333,0.24166666666666667,0.9583333333333334,0.8076923076923077,0.7985185185185186,0.7880794701986755
0.645,0.8351648351648352,0.8222222222222222,0.725,0.7583333333333333,0.24166666666666667,0.9583333333333334,0.8076923076923077,0.7985185185185186,0.7880794701986755
0.65,0.8296703296703297,0.8188888888888888,0.725,0.7583333333333333,0.24166666666666667,0.9583333333333334,0.8021978021978022,0.7951851851851852,0.7847682119205298
